id	text
ParlaMint-UA_2016-05-17-m1.u2.p13.sent5	Але це виключно політична воля залу.
ParlaMint-UA_2016-05-17-m1.u2.p13.sent6	І тому я ще раз поставлю цю пропозицію на голосування.
ParlaMint-UA_2016-05-17-m1.u2.p13.sent7	Якщо буде підтримка, розглянемо за скороченою.
ParlaMint-UA_2016-05-17-m1.u2.p13.sent8	Не буде підтримки – підемо за повною процедурою.
ParlaMint-UA_2016-05-17-m1.u2.p14.sent1	Отже, хто підтримує пропозицію розгляду 4623 за скороченою процедурою, прошу проголосувати.
ParlaMint-UA_2016-05-17-m1.u2.p14.sent2	Будь ласка, колеги, голосуємо.
ParlaMint-UA_2016-05-17-m1.u2.p15.sent1	За-133
ParlaMint-UA_2016-05-17-m1.u2.p16.sent1	Немає волі парламенту.
ParlaMint-UA_2016-05-17-m1.u2.p17.sent1	Йдемо по повній процедурі, і я ставлю.
ParlaMint-UA_2016-05-17-m1.u2.p17.sent2	і я прошу до доповіді народного депутата України Єфімова Максима Вікторовича.
ParlaMint-UA_2016-05-17-m1.u2.p17.sent3	Будь ласка, прошу доповідати, пане Максим.
ParlaMint-UA_2016-05-17-m1.u3.p1.sent1	Уважаемый Андрей Владимирович!
ParlaMint-UA_2016-05-17-m1.u3.p1.sent2	Уважаемые коллеги!
ParlaMint-UA_2016-05-17-m1.u3.p1.sent3	Последние 10 месяцев вместе с Донецкой ОГА и группой активных депутатов, а именно: Ириной Геращенко, Артуром Герасимовым, Олегом Недавой, Андреем Гордеевым, Дмитрием Лубинцом, Алексеем Рябчиным, Мустафой Найемом, Марией Ионовой, Павлом Кишкарем, Виталием Курило, Юрием Гарбузом, Наталией Веселовой и Олегом Крышиным – мы вплотную занимаемся вопросом восстановления Донбасса.
ParlaMint-UA_2016-05-17-m1.u3.p2.sent1	За это время мы нашли решение, предложив механизм эффективного использования бюджетных средства неподконтрольных территорий Донбасса для восстановления его украинской части.
ParlaMint-UA_2016-05-17-m1.u3.p2.sent2	Мы видим мост между Краматорском и Славянском.
ParlaMint-UA_2016-05-17-m1.u3.p2.sent3	Мне бы хотелось, если можно, были фотографии, показать некоторые слайды, показать мост.
ParlaMint-UA_2016-05-17-m1.u3.p3.sent1	Следующий слайд.
ParlaMint-UA_2016-05-17-m1.u3.p4.sent1	Вот это мост между двумя городами.
ParlaMint-UA_2016-05-17-m1.u3.p4.sent2	Два года, находясь между двумя большими городами Украины, люди не могут проехать из одного города в другой.
ParlaMint-UA_2016-05-17-m1.u3.p4.sent3	Ведь столько времени мы никак не можем найти деньги для того, чтобы возобновить работу этих мостов.
ParlaMint-UA_2016-05-17-m1.u3.p5.sent1	К сожалению, эти два года мы только декларируем, но ничего на.
ParlaMint-UA_2016-05-17-m1.u3.p5.sent2	никаких денег на восстановление Донбасса не выделяем.
ParlaMint-UA_2016-05-17-m1.u3.p5.sent3	10 месяцев пытаемся провести инициативу, которая позволит реально помочь региону.
ParlaMint-UA_2016-05-17-m1.u3.p5.sent4	Нам постоянно говорили о том, что нет денег.
ParlaMint-UA_2016-05-17-m1.u3.p5.sent5	Мы не ждали и сами нашли этот ресурс.
ParlaMint-UA_2016-05-17-m1.u3.p5.sent6	Подготовили, приняли закон Украины 714 еще в октябре прошлого года.
ParlaMint-UA_2016-05-17-m1.u3.p5.sent7	Оказалось, что эти деньги Минфин изъял, но до региона они не дошли.
ParlaMint-UA_2016-05-17-m1.u3.p6.sent1	Тогда мы подготовили законопроект 4197, уже прошли первое чтение.
ParlaMint-UA_2016-05-17-m1.u3.p6.sent2	Но там МВФ увидел риски создания дефицита бюджета.
ParlaMint-UA_2016-05-17-m1.u3.p7.sent1	Сегодняшний вариант этого решения законопроект 4623, который мы зарегистрировали на прошлой неделе и получили позитивные решения Минфина, ГНЭУ, бюджетного комитета.
ParlaMint-UA_2016-05-17-m1.u3.p8.sent1	Документ является компромиссным вариантом, который ничего не нарушает, не создает никаких рисков.
ParlaMint-UA_2016-05-17-m1.u3.p8.sent2	Именно он позволит получить такой нужный ресурс для восстановления инфраструктуры Донбасса и даст шанс на то, чтобы изменить отношение людей к власти в лучшую сторону.
ParlaMint-UA_2016-05-17-m1.u3.p9.sent1	За 10 месяцев города и районы Донецкой области за собственные деньги подготовили 650 различных проектов восстановления инфраструктуры, ремонта школ, восстановления дорог, восстановление мостов.
ParlaMint-UA_2016-05-17-m1.u3.p9.sent2	Очередным вопросом стоит возобновление водоснабжения в некоторых регионах.
ParlaMint-UA_2016-05-17-m1.u3.p10.sent1	Я прошу вас, пожалуйста, объединитесь и проголосуйте за этот законопроект для того, чтобы наконец-то дать шанс, дать возможность людям увидеть, что Украина думает о них.
ParlaMint-UA_2016-05-17-m1.u3.p10.sent2	Прошу вас поддержать законопроект 4623.
ParlaMint-UA_2016-05-17-m1.u3.p10.sent3	Спасибо.
ParlaMint-UA_2016-05-17-m1.u3.p10.sent4	В первом чтении.
ParlaMint-UA_2016-05-17-m1.u3.p11.sent1	Если можно, Андрей Владимирович, мне бы хотелось попросить зал, этот закон по сути полстранички, этот законопроект мы принимали, он является законопроектом взамен Закона 4197, по сути, пройден через все комитеты, и я прошу поставить его на основу і в цілому.
ParlaMint-UA_2016-05-17-m1.u3.p11.sent2	Спасибо.
ParlaMint-UA_2016-05-17-m1.u4.p1.sent1	Дякую дуже вам.
ParlaMint-UA_2016-05-17-m1.u4.p2.sent1	Я розумію і знаю важливість даного законопроекту, і дуже вам дякую за активну позицію, яку ви займаєте з цього приводу, але не можу я підзамінити волю залу.
ParlaMint-UA_2016-05-17-m1.u4.p2.sent2	Зал прийняв рішення по повній процедурі, ми будемо іти по повній процедурі.
ParlaMint-UA_2016-05-17-m1.u4.p2.sent3	А потім, якщо не буде заперечень, я поставлю позицію комітету.
ParlaMint-UA_2016-05-17-m1.u4.p3.sent1	Зараз до.
ParlaMint-UA_2016-05-17-m1.u4.p3.sent2	У нас є 3 хвилини.
ParlaMint-UA_2016-05-17-m1.u4.p3.sent3	Запитання до доповідача і я прощу провести запис на запитання до доповідача по даному питанню, будь ласка.
ParlaMint-UA_2016-05-17-m1.u4.p4.sent1	Маркевич Ярослав, будь ласка.
ParlaMint-UA_2016-05-17-m1.u4.p4.sent2	Маркевич Ярослав.
ParlaMint-UA_2016-05-17-m1.u5.p1.sent1	Маркевич, фракция "Самопомич".
ParlaMint-UA_2016-05-17-m1.u5.p1.sent2	Просьба к докладчику пояснить, чем связано появление одного из банков в перечне платежей, на погашение которых пойдет данная сумма.
ParlaMint-UA_2016-05-17-m1.u5.p1.sent3	В чем причина появления этого банка и зачем он там вообще появился?
ParlaMint-UA_2016-05-17-m1.u5.p1.sent4	Спасибо.
ParlaMint-UA_2016-05-17-m1.u6.p1.sent1	Город Донецк, город Донецк в 2012 году взял кредит в "Укрэксимбанке".
ParlaMint-UA_2016-05-17-m1.u6.p1.sent2	Деньги, которые предполагается изъять из местного бюджета города Донецк, а это в районе 700 миллионов гривен, сначала пойдут на погашение этого кредита, уже взятого в прошлом.
ParlaMint-UA_2016-05-17-m1.u6.p1.sent3	По сути, Минфин настаивал на этом вопросе.
ParlaMint-UA_2016-05-17-m1.u6.p1.sent4	Но мы с этим согласились, потому, как либо нужно было бы дофинансировать, докапитализировать государственный "Укрэксимбанк", именно государственный "Укрэксимбанк", либо просто заплатить с денег, которые сейчас лежат на счетах, сначала кредит, а потом остаток денег передать на территорию, контролируемую украинской властью.
ParlaMint-UA_2016-05-17-m1.u7.p1.sent1	Дякую вам.
ParlaMint-UA_2016-05-17-m1.u7.p2.sent1	Будь ласка, Рябчин Олексій.
ParlaMint-UA_2016-05-17-m1.u8.p1.sent1	Олексій Рябчин, фракція "Батьківщина", Донеччина.
ParlaMint-UA_2016-05-17-m1.u8.p1.sent2	Хотів би задати запитання доповідачу, тим паче він з Краматорську.
ParlaMint-UA_2016-05-17-m1.u8.p1.sent3	Ми прийняли законопроект, яким впроваджуємо "ProZorro" у Донецькій області як пріоритетний, він вже там працює.
ParlaMint-UA_2016-05-17-m1.u8.p1.sent4	Але до нас надійшла інформація від активістів, що в Краматорську намагаються підвищити поріг з 10 тисяч до 50 тисяч і вивезти дуже багато цих закупівель з-під дії "ProZorro".
ParlaMint-UA_2016-05-17-m1.u8.p1.sent5	І я вважаю, що це дуже великі корупційні ризики.
ParlaMint-UA_2016-05-17-m1.u8.p1.sent6	І ви як мажоритарник, обраний з цього міста, будь ласка, докладіть зусилля і доповедіть залу, що ці гроші будуть використані виключно через "ProZorro".
ParlaMint-UA_2016-05-17-m1.u8.p1.sent7	Дякую.
ParlaMint-UA_2016-05-17-m1.u9.p1.sent1	Принимая.
ParlaMint-UA_2016-05-17-m1.u9.p1.sent2	Зал проголосовал несколько недель назад за наш законопроект 4199 и внедрил систему "ProZorro", начиная с мая месяца на всей Донецкой, по всей Донецкой области.
ParlaMint-UA_2016-05-17-m1.u9.p1.sent3	Это было сделано именно для того, чтобы дать возможность всем городам, подготовившись немного, понимая, что будет большое финансирование, используя систему "ProZorro", убрать коррупционную составляющую.
ParlaMint-UA_2016-05-17-m1.u9.p1.sent4	Именно поэтому деньги, которые сегодня предполагается передать на неоккупированную территорию Донецкой области, они все без исключения пойдут через систему "ProZorro".
ParlaMint-UA_2016-05-17-m1.u9.p2.sent1	То, что сегодня в Краматорске есть такая инициатива, я надеюсь, что городской исполком города Краматорска, также депутаты городского совета города Краматорска не проголосуют за решение перейти порог 10 тысяч, уйти на 50 тысяч.
ParlaMint-UA_2016-05-17-m1.u9.p2.sent2	И я буду делать все для того, чтобы это не произошло.
ParlaMint-UA_2016-05-17-m1.u10.p1.sent1	Дякую дуже вам.
ParlaMint-UA_2016-05-17-m1.u10.p2.sent1	Останнє запитання Івченко Вадим.
ParlaMint-UA_2016-05-17-m1.u10.p3.sent1	Але у нас буде можливість усім виступити, тому не переживайте ті, що записались.
ParlaMint-UA_2016-05-17-m1.u10.p4.sent1	Будь ласка, Івченко Вадим.
ParlaMint-UA_2016-05-17-m1.u11.p1.sent1	Вадим Івченко, фракція "Батьківщина".
ParlaMint-UA_2016-05-17-m1.u11.p1.sent2	Шановні колеги, мене цікавить наступне питання.
ParlaMint-UA_2016-05-17-m1.u11.p1.sent3	У нас в населених пунктах на цій території, особливо в сільських, селищних радах є орендарі, сільськогосподарські товаровиробники.
ParlaMint-UA_2016-05-17-m1.u11.p1.sent4	І так трапилось, що вони не можуть зібрати свій урожай, тому що там зона АТО, дуже багато військових частин стоїть на полях.
ParlaMint-UA_2016-05-17-m1.u11.p1.sent5	А вони сьогодні платять і орендну плату і єдиний податок, тобто платять за те, де вони не можуть зібрати свої врожаї і отримати прибутки.
ParlaMint-UA_2016-05-17-m1.u11.p1.sent6	Вони до нас звернулися, щоб ми врахували це в законопроекті.
ParlaMint-UA_2016-05-17-m1.u11.p1.sent7	Скажіть, будь ласка, чи це в законопроекті враховано, що саме там, де неможливо отримати прибуток будь-якому підприємству або я кажу про сільгосптоваровиробника, щоб він не сплачував орендну плату за державну чи комунальну землю і також єдиний податок, які ідуть в місці бюджети.
ParlaMint-UA_2016-05-17-m1.u11.p1.sent8	Дякую за відповідь.
ParlaMint-UA_2016-05-17-m1.u12.p1.sent1	Мы сегодня проголосовали за закон 4048, который решает эту проблему.
ParlaMint-UA_2016-05-17-m1.u12.p1.sent2	Это другой закон.
ParlaMint-UA_2016-05-17-m1.u13.p1.sent1	Дякую.
ParlaMint-UA_2016-05-17-m1.u13.p2.sent1	Шановні колеги, дається лишень три хвилини для запитань, але у нас буде достатньо часу усім виступити.
ParlaMint-UA_2016-05-17-m1.u13.p3.sent1	Я до співдоповіді запрошую голову підкомітету Комітету з питань бюджету Куліченко Івана Івановича.
ParlaMint-UA_2016-05-17-m1.u13.p4.sent1	Будь ласка, Куліченко Іван Іванович.
ParlaMint-UA_2016-05-17-m1.u14.p1.sent1	Шановні колеги!
ParlaMint-UA_2016-05-17-m1.u14.p1.sent2	Дійсно, це стосується коштів, які були накопичені на казначейському рахунку на 1 вересня минулого року.
ParlaMint-UA_2016-05-17-m1.u14.p1.sent3	Ми приймали вже закон, але він в минулому році був не виконаний.
ParlaMint-UA_2016-05-17-m1.u14.p1.sent4	Комітет з питань бюджету 11 травня розглянув законопроект 4623, яким уточнюються положення щодо управління залишками коштів місцевих бюджетів населених пунктів Донецької і Луганської областей, де органи державної влади не здійснюють своїх повноважень.
ParlaMint-UA_2016-05-17-m1.u14.p1.sent5	Зокрема, передбачається тимчасове зарахування коштів до загального фонду відповідних обласних бюджетів та розширення напряму їх використання.
ParlaMint-UA_2016-05-17-m1.u14.p1.sent6	Автор уже сказав, що 12 квітня ми прийняли закон в першому читанні, який треба, при затвердженні цього, 4197, відмінити.
ParlaMint-UA_2016-05-17-m1.u14.p2.sent1	Тому комітет ухвалив таке рішення: рекомендувати Верховній Раді законопроект 4623 прийняти за основу та в цілому як закон, враховуючи, що законопроектом 4623 врегульовується питання в інший спосіб, і законопроект 4197 втрачає актуальність.
ParlaMint-UA_2016-05-17-m1.u14.p2.sent2	Прошу підтримати рішення комітету.
ParlaMint-UA_2016-05-17-m1.u14.p2.sent3	Дякую за увагу.
ParlaMint-UA_2016-05-17-m1.u15.p1.sent1	Дуже вам дякую.
ParlaMint-UA_2016-05-17-m1.u15.p2.sent1	Я прошу провести запис на "питання-відповіді" до співдоповідача і на це теж надається 3 хвилини.
ParlaMint-UA_2016-05-17-m1.u15.p2.sent2	Прошу провести запис.
ParlaMint-UA_2016-05-17-m1.u15.p3.sent1	Ігор Луценко.
ParlaMint-UA_2016-05-17-m1.u15.p3.sent2	Будь ласка, пане Ігор.
ParlaMint-UA_2016-05-17-m1.u16.p1.sent1	Олексію Рябчину передайте, будь ласка.
ParlaMint-UA_2016-05-17-m1.u17.p1.sent1	Олексій Рябчин, "Батьківщина", Донеччина.
ParlaMint-UA_2016-05-17-m1.u17.p1.sent2	У мене запитання до співдоповідача щодо процедури?
ParlaMint-UA_2016-05-17-m1.u17.p1.sent3	як ці гроші будуть реалізовані до громади, як ці проекти будуть обиратися, чи прозора це буде процедура, чи взагалі як мінімізувати рівень корупції, який ми намагаємося мінімізувати завдяки "ProZorro", а як ми можемо мінімізувати, скажемо, персональний фактор, коли людина буде обирати направити кошти на певний проект.
ParlaMint-UA_2016-05-17-m1.u17.p1.sent4	І розкажіть, будь ласка, всій Україні та людям, які проекти і за якими критеріями вони будуть обиратися, щоб претендувати на ці кошти.
ParlaMint-UA_2016-05-17-m1.u17.p1.sent5	Дякую.
ParlaMint-UA_2016-05-17-m1.u18.p1.sent1	Дякую за запитання.
ParlaMint-UA_2016-05-17-m1.u18.p1.sent2	Кошти місцевих бюджетів будуть зараховані як субвенція бюджетам Донецької і Луганської області, під них склали перелік проектів, які повинні бути розглянуті і виконані роботи.
ParlaMint-UA_2016-05-17-m1.u18.p1.sent3	Реалізація проектів буде через систему " ProZorro", і тому я не бачу питань із зловживанням.
ParlaMint-UA_2016-05-17-m1.u19.p1.sent1	Дякую дуже вам.
ParlaMint-UA_2016-05-17-m1.u19.p2.sent1	Будь ласка, Івченко.
ParlaMint-UA_2016-05-17-m1.u19.p2.sent2	Будь ласка, Борислав Береза.
ParlaMint-UA_2016-05-17-m1.u19.p2.sent3	Пане Борислав, будь ласка.
ParlaMint-UA_2016-05-17-m1.u20.p1.sent1	Шановні колеги, питання повернення Донбасу для України стає одне із найважливіших.
ParlaMint-UA_2016-05-17-m1.u20.p1.sent2	Більше того, я хочу сказати, що дуже важливо розуміти в які саме галузі будуть зараз направлені ці кошти?
ParlaMint-UA_2016-05-17-m1.u20.p1.sent3	Я повернувся недавно з Донбасу, я бачив, що є різниця відношення населення до того, де відновлення інфраструктура, і там, де взагалі нічого не робиться.
ParlaMint-UA_2016-05-17-m1.u20.p1.sent4	Отож ці гроші, які зараз потрібно направити на відновлення інфраструктури, ми повинні дуже ретельно розприділяти.
ParlaMint-UA_2016-05-17-m1.u20.p1.sent5	Чому?
ParlaMint-UA_2016-05-17-m1.u20.p1.sent6	Тому що не може бути такого, щоб хтось розсував ці кошти по кишеням.
ParlaMint-UA_2016-05-17-m1.u20.p1.sent7	Отож, я підтримую цей законопроект і хочу сказати, що окрім видачі грошей, треба ще контролювати їх розподілення.
ParlaMint-UA_2016-05-17-m1.u20.p1.sent8	Дякую.
ParlaMint-UA_2016-05-17-m1.u21.p1.sent1	Дякую вам.
ParlaMint-UA_2016-05-17-m1.u21.p2.sent1	Прошу дати відповідь, відповідь дасть Єфимов Максим Вікторович.
ParlaMint-UA_2016-05-17-m1.u21.p2.sent2	Ви так між собою домовилися, так?
ParlaMint-UA_2016-05-17-m1.u21.p2.sent3	Нормально.
ParlaMint-UA_2016-05-17-m1.u21.p2.sent4	Будь ласка, Максим Вікторович Єфимов дасть відповідь.
ParlaMint-UA_2016-05-17-m1.u22.p1.sent1	Борислав, вот у меня здесь есть перечень объектов, которые, в принципе, мы его можем без проблем сделать предметом власности.
ParlaMint-UA_2016-05-17-m1.u22.p1.sent2	Я думаю, что сейчас представители ОДА слышат это и обязательно смогут всю общественность Украины проинформировать.
ParlaMint-UA_2016-05-17-m1.u22.p1.sent3	Это 100 общежитий, 16 водопроводов, 8 теплотрасс, 1 тысяча 425 объектов электропередач, 24 садика, 72 школы, 7 профтехучилищ, 3 ВУЗа, 14 больниц, 2 роддома, 17 амбулаторий, 3 ВАФа, 500 километров дорог и около 10 мостов.
ParlaMint-UA_2016-05-17-m1.u22.p1.sent4	Все это будет восстановлено через систему " ProZorro", и сегодня все факты, которые существуют, возможные, потенциальные, коррупция, они все все время освещаются, мы видим это в Facеbook и везде.
ParlaMint-UA_2016-05-17-m1.u23.p1.sent1	Дякую дуже вам.
ParlaMint-UA_2016-05-17-m1.u23.p2.sent1	І останнє запитання, Войціцька передає слово Веселовій, останнє запитання в цьому розділі, будь ласка.
ParlaMint-UA_2016-05-17-m1.u24.p1.sent1	Добрий день!
ParlaMint-UA_2016-05-17-m1.u24.p1.sent2	У мене запитання до голови комітету.
ParlaMint-UA_2016-05-17-m1.u24.p2.sent1	Це, в принципі, дуже хороша справа, тому що Донецька та Луганська область постраждали, і, дійсно, основна маса переселенців проживає саме у Донецькій і Луганській області.
ParlaMint-UA_2016-05-17-m1.u24.p2.sent2	Через це можна сказати, що постраждало не лише те населення, яке переселилося на підконтрольні території, але і постраждалі є приймаючі громади.
ParlaMint-UA_2016-05-17-m1.u24.p2.sent3	У них збільшилися потреби.
ParlaMint-UA_2016-05-17-m1.u24.p3.sent1	І хотіла задати питання голові комітету: чи будуть вони контролювати розподіл цих коштів та контролювати пріоритети, які будуть визначати Луганська та Донецька військово-цивільні адміністрації?
ParlaMint-UA_2016-05-17-m1.u25.p1.sent1	Будь ласка, Іван Іванович.
ParlaMint-UA_2016-05-17-m1.u26.p1.sent1	Дякую за запитання.
ParlaMint-UA_2016-05-17-m1.u26.p1.sent2	Ми вже тричі розглядали на засідання комітету це питання.
