id	text	language
ParlaMint-UA_2009-09-22-m1.u4.p7.sent2	Я просив би за результатами наслідку Верховної Ради України цих пропозицій не вдаватися до блокування.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p7.sent3	Бо всі наполягали на тому, що ми повинні прийняти рішення прозоро і відкрито про соціальні стандарти.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p7.sent4	Давайте прозоро і відкрито його приймемо.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p8.sent1	Тобто прошу уваги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p8.sent2	Я ставлю на голосування першу пропозицію.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p8.sent3	Про скасування рішення Верховної Ради України про прийняття Постанови парламенту про зміну способу голосування щодо законопроектів про державні соціальні стандарти.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p8.sent4	Прошу шляхом голосування, шановні колеги, визначитися.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p9.sent1	За-207	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p10.sent1	Рішення не прийнято.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p11.sent1	По фракціях, будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p11.sent2	Партія регіонів – 171 , "Блок Юлії Тимошенко" – 2, "Наша Україна-Народна Самооборона" – 7, комуністів – 27, "Блок Литвина" – 0, позафракційні - 0.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p12.sent1	Я ставлю на голосування про відкладення прийняття рішення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p12.sent2	Чого ви поспішаєте, ще не проголосували, шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p12.sent3	Встигнете, сядьте, будь ласка, вам треба проголосувати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p13.sent1	Шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p13.sent2	Я просив би вас.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p13.sent3	Ставиться ваша пропозиція про відкладення голосування щодо законопроектів про державні соціальні стандарти на четвер.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p13.sent4	Це ж ваша пропозиція, я її ставлю на голосування!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p14.sent1	Я ставлю на голосування пропозицію про прийняття рішення з приводу законопроектів про державні соціальні стандарти.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p14.sent2	перенести прийняття рішення на четвер на 10-ту годину ранку.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p14.sent3	Прошу голосувати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p14.sent4	Будь ласка, ви ж самі просили, то голосуйте тепер.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p15.sent1	За-19	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p16.sent1	Шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p16.sent2	Ну я прошу, заспокойтеся!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p16.sent3	Висновок очевидний: соціальні стандарти і підвищення прожиткового рівня нікому не потрібні!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p16.sent4	Потрібна непрацююча Верховна Рада України!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p16.sent5	Будь ласка, надумаєтесь, скажете!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p17.sent1	Я.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p17.sent2	Що?	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u4.p17.sent3	Ми не скасували, але ж зараз поіменне голосування як проводити, бійку влаштовувати, чи що?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p17.sent4	Якщо вас влаштовує, я можу запропонувати голові Лічильної комісії, щоб він там.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p17.sent5	Будь ласка, давайте.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p18.sent1	Ну я не можу, це буде голова Лічильної комісії.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p19.sent1	Шановні депутати!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p19.sent2	Я пропоную вам, як ще компромісне рішення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p19.sent3	Я не хочу, як і ви, не хочу, щоб потім ви заходили по одному в кабінет і розказували, що ви не підтримуєте цього безглуздого блокування.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p19.sent4	Я пропоную вам, давайте знайдемо тоді такий компроміс і я поставлю на голосування, що ми тоді відкладаємо розгляд питання про прийняття рішення на четвер.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p19.sent5	Завтра о 10-ій годині розпочнемо з розгляду кадрових питань.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p19.sent6	Ну це є компроміс?!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p19.sent7	Давайте проголосуємо за такий компроміс!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p19.sent8	Чому ви жодного компромісу не хочете?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p20.sent1	Зараз, одну хвилину, я прошу!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p20.sent2	Шановні колеги, давайте цю пропозицію зараз кожна фракція, будь ласка, висловіть свою позицію.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u4.p20.sent3	Віктор Федорович Янукович, потім – Іван Григорович Кириленко.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p1.sent1	Шановні народні депутати, шановні виборці!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p1.sent2	Фракція Партії регіонів вносить пропозицію голосувати сьогодні, сьогодні, не відкладати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p1.sent3	У цьому залі не займатись клоунадою.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p2.sent1	У цьому залі голосувати сьогодні соціальні стандарти за порядком денним затвердженим.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p2.sent2	За порядком денним звичайним способом.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p3.sent1	Якщо ви хочете, якщо ви хочете зірвати це питання, голосування, ми вам не дозволимо.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p3.sent2	Ви вже його зірвали.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p3.sent3	Почали зривати ще в липні місяці і з липня місяця тягнете.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p3.sent4	Це питання ви вимушені будете приймати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u5.p3.sent5	Вас народ заставить.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u6.p1.sent1	Я поставив.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u6.p1.sent2	Я хочу сказати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u6.p1.sent3	Вікторе Федоровичу, шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u6.p1.sent4	Рішення Верховна Рада прийняла – 241 голос – про те, щоб кожен депутат персонально висловився „за” чи „проти”.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u6.p1.sent5	Треба відмінити це рішення Верховної Ради, тоді я поставлю на голосування з величезним задоволенням.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u6.p1.sent6	Ви ж не хочете слухати моїх пропозицій.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u6.p1.sent7	Будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent1	Шановний Володимире Михайловичу, шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent2	Фракція однозначно підтримує пропозицію розпочати негайно голосування.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent3	Уже тягли скільки могли.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent4	По повній процедурі обговорили.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent5	Всі висловилися з приводу пропозицій, які там містяться в цих законопроектах.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent6	Автори мали заключне слово.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent7	Все сказано.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent8	Рішення вчора прийнято Погоджувальною радою.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent9	Відкрито, легітимно.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent10	Сьогодні воно отримало підтримку в залі.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent11	Повний зал депутатів.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent12	Ну чого ми знущаємося з людей?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent13	Починаємо процедуру голосування!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent14	Починаємо голосувати!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u7.p1.sent15	Категорично!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u8.p1.sent1	Микола Мартиненко, будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p1.sent1	Шановний Володимире Михайловичу, шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p1.sent2	Ми з вами визначилися сьогодні в залі щодо процедури розгляду даного питання.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p1.sent3	Мало того, я нагадаю для всіх депутатів, що вчора на Погоджувальній раді це було як компроміс таким чином голосувати сьогодні по розгляду даних питань на сьогоднішньому пленарному засіданні.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p2.sent1	Чомусь ми під диктовку однієї фракції повинні переглядати свої позиції.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p2.sent2	Чомусь ми уже деякий місяць блокуємо трибуну.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p2.sent3	Це взагалі не зрозуміло не тільки народним депутатам, а всім виборцям, тим паче.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p3.sent1	Тому є тільки один вихід.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p3.sent2	Ставити питання на голосування у спосіб визначений сьогодні вранці.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u9.p3.sent3	Дякую.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u10.p1.sent1	Будь ласка, Адам Іванович Мартинюк.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u11.p1.sent1	Дякую.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u11.p1.sent2	Мартинюк фракція комуністів.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u11.p2.sent1	Шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u11.p2.sent2	Сьогоднішнє обговорення показало, що незважаючи на те, хто як виступав, хто підтримував, хто проти соціальних стандартів виступав, але в кожному виступі практично звучала думка про те, що так далі жити не можна.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u11.p2.sent3	Тобто з таким мінімумом, який закладений в бюджеті на 2009 рік.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u11.p2.sent4	А ви знаєте, що проголосували, щоб протягом року, це вперше в історії, не змінювались ніякі стандарти, що вони залишились на рівні 2008 року, так бути не може.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u11.p3.sent1	Тобто нам обов’язково треба знайти шляхи для того, щоб розв’язати ті питання, які ми сьогодні розглядали і з чотирьох законопроектів чи з п’яти законопроектів, бо по суті з чотирьох, бо один з них має відношення до бюджету вже 2010 року рекомендаційного характеру, постанова колеги Папієва, потрібно проголосувати за один із них для того, щоб знайти оптимальне рішення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u11.p3.sent2	І я хотів би запросити інших колег шукати таке рішення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u12.p1.sent1	Олег Зарубінський, будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p1.sent1	Олег Зарубінський, „Блок Литвина”.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent1	Шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent2	Виникає якась дивна ситуація.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent3	Вчора на засіданні Погоджувальної ради люди, які представляли всі 5 парламентських фракцій погодилися з тим, що треба виконувати норму Конституції.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent4	І в першу чергу, коли питання йде про ту проблему, яка була в центрі уваги протягом кількох місяців із-за якої невирішення начебто і блокувалася Верховна Рада.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent5	Сьогодні народні депутати зійшлися в залі.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent6	Відбулися з десятої до другої години всі виступи, обговорення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent7	В чому проблема?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent8	Для чого блокувати?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent9	Що, людей не привезли ще?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent10	Ну, то скажіть це чесно.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent11	Не привезли людей, не вистачає людей.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent12	Але ж є інші депутати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent13	Подивіться.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p2.sent14	В залі практично 400 чоловік.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p3.sent1	І ще один момент.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p3.sent2	От у мене результати голосування тільки що.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p3.sent3	У мене питання.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p3.sent4	А хто пропонував відкласти до четверга процедуру голосування?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p3.sent5	Партія регіонів скільки проголосувала за це?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p3.sent6	От я бачу, чотири чоловіки.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u13.p3.sent7	То що ж ви хочете?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent1	Шановні народні депутати!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent2	Для того, щоб найти компроміс, я ще раз готовий поставити на голосування.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent3	Прошу сісти на свої робочі місця.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent4	Поставити на голосування пропозицію про зміну способу голосування, повернутись про відкладення.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent5	Але рішення це потрібно приймати, я маю на увазі про прожитковий мінімум.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent6	Чому ви не хочете його приймати?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent7	Ви хотіли у будь-який спосіб його приймати, вам же всі можливості для цього створені.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent8	Давайте приймати!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent9	Чого ж ви не хочете його приймати?	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent10	Тому я ще раз поставлю на голосування, щоб потім не було змагання за людей.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent11	Вже всі виступили, досить!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p1.sent12	Я прізвища нікого не називав.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p2.sent1	Шановні колеги!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p2.sent2	Я ще раз поставлю на голосування про те, щоб прийняти рішення про скасування Постанови Верховної Ради України про прийняття парламентом рішення про зміну способу голосування щодо законопроектів про державні соціальні стандарти, про повернення до розгляду питання про скасування постанови.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p2.sent3	Голосуйте, будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p3.sent1	Відмініть голосування.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p3.sent2	Єфремов, будь ласка.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p3.sent3	Послухаємо голову регламентного комітету!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p3.sent4	Він скаже, що не потрібно порушувати нам Регламент Верховної Ради і працювати.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p3.sent5	Давайте, що ви всі кричите!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u14.p4.sent1	Будь ласка, Олександр Сергійович Єфремов.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u15.p1.sent1	Уважаемый Владимир Михайлович, уважаемые коллеги!	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u15.p1.sent2	Владимир Михайлович, вы сей час сказали, хорошую фразу о том, что давайте в конечном итогебудь-каким способом проголосуем за данный проект постановления.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u15.p2.sent1	И те инсинуации, которые сегодня были по поводу того, что сегодня депутатов в течение трех часов, действительно, которые находятся в командировке либо находятся в больнице, привезти невозможно, а разговор идет о каждом голосе в этом зале, чтобы понятно было, то это заведомо поставить на провальное голосование.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u15.p3.sent1	Поэтому мы вас поддерживаем.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u15.p3.sent2	И давайте мы сменим нормальное голосование, как у нас было карточками.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u15.p3.sent3	Разблокируется трибуна, мы проголосуем за данный проект постановления.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u15.p3.sent4	Это будет выявление каждой воли депутата, который здесь присутствует, и мы можем каждого увидеть на табло, кто как проголосовал, и не будет никаких вопросов.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u15.p3.sent5	Но загонять каждый раз ситуацию, когда делается все для.	RUSSIAN
ParlaMint-UA_2009-09-22-m1.u16.p1.sent1	Шановні народні депутати!	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p1.sent2	У зв’язку з тим.	UKRAINIAN
ParlaMint-UA_2009-09-22-m1.u16.p1.sent3	Я зараз ще раз поставлю ці пропозиції на голосування, але хочу вам сказати, у зв’язку з тим, що тривалий час була заблокована робота Верховної Ради під приводом одним, що потрібно прийняти закони про підвищення державних соціальних стандартів.	UKRAINIAN
